"","life_exp_2017","country_id"
"199",60.8787774728612,NA
"200",57.365,"SSD"
"201",60.8800023700024,NA
"202",69.261389799666,NA
"203",69.933,"STP"
"204",71.463,"SUR"
"205",77.1658536585366,"SVK"
"206",81.1756097560976,"SVN"
"207",82.3073170731707,"SWE"
"208",58.319,"SWZ"
"209",74.3,"SYC"
"210",70.967,"SYR"
"211",53.712,"TCD"
"212",75.0333588983101,NA
"213",73.808354320107,NA
"214",60.489,"TGO"
"215",76.683,"THA"
"216",70.647,"TJK"
"217",67.956,"TKM"
"218",75.192465413112,NA
"219",69.007,"TLS"
"220",73.3901310655417,NA
"221",70.701,"TON"
"222",69.1713119009688,NA
"223",60.8800023700024,NA
"224",73.245,"TTO"
"225",76.31,"TUN"
"226",77.161,"TUR"
"227",64.479,"TZA"
"228",62.516,"UGA"
"229",71.7809756097561,"UKR"
"230",75.5225332493901,NA
"231",77.632,"URY"
"232",78.5390243902439,"USA"
"233",71.388,"UZB"
"234",72.3,"VCT"
"235",72.246,"VEN"
"236",79.419512195122,"VIR"
"237",75.241,"VNM"
"238",70.172,"VUT"
"239",72.3830086612671,NA
"240",73.046,"WSM"
"241",71.9463414634146,"RKS"
"242",66.086,"YEM"
"243",63.538,"ZAF"
"244",63.043,"ZMB"
"245",60.812,"ZWE"
