"","resp_disease_prev","country_id"
"171",3.701542401593,"TZA"
"172",2.537743924381,"THA"
"173",3.3358380905292,"BHS"
"174",1.818830837499,"GMB"
"175",3.482551339859,"TLS"
"176",3.085724349152,"TGO"
"177",3.350200344306,"TON"
"178",3.2898275146162,"TTO"
"179",3.45878653957,"TUN"
"180",4.019717771785,"TUR"
"181",2.160814931341,"TKM"
"182",4.245593535126,"UGA"
"183",3.265953556417,"UKR"
"184",3.288011278725,"ARE"
"185",4.5379504612625,"GBR"
"186",4.133457381218,"USA"
"187",3.2911150714277,"URY"
"188",1.954603202791,"UZB"
"189",3.371400340975,"VUT"
"190",3.4200160810405,"VEN"
"191",2.862129490117,"VNM"
"192",3.1807232045544,"VIR"
"193",4.518085807795,"YEM"
"194",3.984167198075,"ZMB"
"195",3.46824310411,"ZWE"
