"","pop_below14_2018","country_id"
"1",17.8024469743493,"ABW"
"2",43.0901755117794,"AFG"
"3",46.8089247095412,"AGO"
"4",17.672873724304,"ALB"
"5",32.7804361810202,NA
"6",14.6035093701468,"ARE"
"7",24.7609338351238,"ARG"
"8",20.6334219249969,"ARM"
"9",22.0810917475022,"ATG"
"10",19.1906170385658,"AUS"
"11",14.2979476320233,"AUT"
"12",23.3695698603865,"AZE"
"13",45.5016807491186,"BDI"
"14",17.0554227603857,"BEL"
"15",42.4476823945995,"BEN"
"16",44.9480813221662,"BFA"
"17",27.706022482501,"BGD"
"18",14.5954653179814,"BGR"
"19",19.2543101196218,"BHR"
"20",22.4848756732367,"BHS"
"21",14.7662176493152,"BIH"
"22",16.8659430504801,"BLR"
"23",30.2797653698662,"BLZ"
"24",31.0735477456373,"BOL"
"25",21.3340719108545,"BRA"
"26",17.342948147683,"BRB"
"27",23.0264614896856,"BRN"
"28",25.7713537330923,"BTN"
"29",34.1129460158256,"BWA"
"30",44.294320550801,"CAF"
"31",15.8702508744405,"CAN"
"32",15.1356421360653,NA
"33",14.9109547691069,"CHE"
"34",15.1883588760051,NA
"35",19.7539024707995,"CHL"
"36",17.8770027525543,"CHN"
"37",41.9369721367589,"CIV"
"38",42.6315798448676,"CMR"
"39",46.1656420864844,"COD"
"40",41.7635024604532,"COG"
"41",23.077895979964,"COL"
"42",39.5384238311615,"COM"
"43",28.7777669479759,"CPV"
"44",21.3247441063911,"CRI"
"45",23.7129242507539,NA
"46",16.2112389922363,"CUB"
"47",18.8839461266221,"CUW"
"48",16.787847956511,"CYP"
"49",15.5866055197434,"CZE"
"50",13.6210301045356,"DEU"
"51",29.5741159613441,"DJI"
"52",16.4582625623987,"DNK"
"53",27.9771295026574,"DOM"
"54",30.1486785862257,"DZA"
"55",20.4988123856016,NA
"56",28.8975707496211,NA
"57",19.7675470402693,NA
"58",21.0390865541104,NA
"59",18.0150568463075,NA
"60",28.0285920021109,"ECU"
"61",33.7987207092348,"EGY"
"62",15.0681169063958,NA
"63",14.6670011075355,"ESP"
"64",16.3570737459559,"EST"
"65",40.7829819073234,"ETH"
"66",15.4757007918995,NA
"67",40.2373876033717,NA
"68",16.1451829725838,"FIN"
"69",29.5126222009931,"FJI"
"70",17.9564644444787,"FRA"
"71",31.7072088068182,"FSM"
"72",37.0258696960045,"GAB"
"73",17.6780820689573,"GBR"
"74",19.7952406005383,"GEO"
"75",37.5960615850344,"GHA"
"76",43.8501733445473,"GIN"
"77",44.2687450605107,"GMB"
"78",42.3391522075139,"GNB"
"79",37.1165988655245,"GNQ"
"80",14.0712448654023,"GRC"
"81",23.5612898594936,"GRD"
"82",34.4353953933618,"GTM"
"83",24.4637083152357,"GUM"
"84",28.214545202476,"GUY"
"85",16.5234666898609,NA
"86",11.9008970757204,"HKG"
"87",31.7408815333097,"HND"
"88",42.8560598715572,NA
"89",14.5119400058464,"HRV"
"90",33.242244257891,"HTI"
"91",14.4119922134424,"HUN"
"92",23.581225518679,NA
"93",27.4829217419585,NA
"94",38.8485035306461,NA
"95",38.7439381447917,NA
"96",26.5511973052634,"IDN"
"97",38.9021881180137,NA
"98",27.0533018530221,"IND"
"99",21.4064195870662,"IRL"
"100",24.4765586602319,"IRN"
"101",38.3865654011074,"IRQ"
"102",19.8323201064408,"ISL"
"103",27.9252464589938,"ISR"
"104",13.3291160906398,"ITA"
"105",23.7500966830639,"JAM"
"106",34.2454902091433,"JOR"
"107",12.6968488090205,"JPN"
"108",28.4605497778393,"KAZ"
"109",39.7821669340692,"KEN"
"110",32.3504171141318,"KGZ"
"111",31.2014147627244,"KHM"
"112",35.5399794556613,"KIR"
"113",12.9733235784635,"KOR"
"114",21.5388880509858,"KWT"
"115",24.7649039681473,NA
"116",32.6039186819471,"LAO"
"117",26.0958671652131,"LBN"
"118",41.1249865894663,"LBR"
"119",28.3192377277793,"LBY"
"120",18.5288830000715,"LCA"
"121",24.5536012826226,NA
"122",39.4333624818523,NA
"123",41.889102108131,NA
"124",24.1970010216799,"LKA"
"125",30.1797351903036,NA
"126",27.5525934775662,NA
"127",32.7163515354347,"LSO"
"128",19.0157536118667,NA
"129",14.8824245055089,"LTU"
"130",15.8788239869589,"LUX"
"131",15.9957769389964,"LVA"
"132",13.654066582652,"MAC"
"133",27.2063801328554,"MAR"
"134",15.8600908600909,"MDA"
"135",40.6681505928286,"MDG"
"136",20.1479166020291,"MDV"
"137",29.8862621557125,NA
"138",26.5568481908521,"MEX"
"139",25.77099448535,NA
"140",16.5169996308133,"MKD"
"141",47.5434863934943,"MLI"
"142",14.2769005208902,"MLT"
"143",26.3710482845116,"MMR"
"144",31.1110443058753,NA
"145",18.2095191371898,"MNE"
"146",30.4095683070176,"MNG"
"147",44.6708001531326,"MOZ"
"148",40.0831828216618,"MRT"
"149",17.793692318012,"MUS"
"150",43.9022859066284,"MWI"
"151",23.9951410860297,"MYS"
"152",18.4202023019982,NA
"153",36.9102491891316,"NAM"
"154",22.7409256659988,"NCL"
"155",49.9843246094453,"NER"
"156",43.8666399781742,"NGA"
"157",30.2016811999565,"NIC"
"158",16.1081587098378,"NLD"
"159",17.5490383783174,"NOR"
"160",30.4142653217498,"NPL"
"161",19.6534314569849,"NZL"
"162",17.8269264177606,NA
"163",22.2465059852286,"OMN"
"164",29.9392347322767,NA
"165",35.2698145995487,"PAK"
"166",27.0623043241241,"PAN"
"167",25.7906028460802,"PER"
"168",30.9630402017999,"PHL"
"169",35.8159344007888,"PNG"
"170",15.052276813695,"POL"
