"media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","country_id"
-0.782,-0.578,1.923,0.661,-0.916,0.281,"BLR"
0.82,-0.354,-1.245,0.817,0.271,0.931,"CMR"
0.261,-0.827,-1.638,0.616,-1.213,0.939,"TCD"
-1.966,-1.538,-0.612,0.442,-0.463,0.536,"CHN"
0.356,-0.084,-1.477,0.184,-0.198,0.766,"COD"
0.153,-0.354,-0.895,0.211,-1.255,0.682,"COG"
-0.845,-1.198,-1.097,0.556,-0.058,0.74,"DJI"
0.544,0.806,-0.817,0.85,-0.7,0.96,"DOM"
-2.149,-2.498,0.612,0.092,-2.05,0.697,"ERI"
0.531,0.658,-0.021,0.702,1.824,0.838,"GAB"
1.362,1.339,-0.086,0.846,1.106,0.449,"GMB"
0.674,1.771,2.055,0.871,1.129,0.168,"GEO"
0.926,0.03,-2.19,0.645,-0.356,0.905,"GNB"
2.198,1.661,1.345,0.873,1.604,0.124,"JAM"
-0.986,0.208,1.776,0.782,-0.401,0.729,"KAZ"
0.791,0.114,0.812,0.681,0.291,0.829,"KGZ"
-2.786,-2.542,-1.28,0.303,-0.684,0.743,"LAO"
1.648,0.298,-0.118,0.441,-2.093,0.857,"LBY"
0.934,0.243,-2.306,0.869,-0.174,0.634,"MDG"
1.154,1.256,0.155,0.861,0.692,0.606,"MDA"
1.04,1.015,-1.143,0.779,1.598,0.369,"NAM"
-2.156,-0.738,0.069,0.615,1.032,0.12,"RWA"
0.382,-0.428,-2.156,0.355,-0.776,0.808,"SOM"
0.131,0.747,1.309,0.815,0.479,0.321,"LKA"
-0.91,-0.451,-0.823,0.119,0.029,0.899,"SWZ"
-1.237,-1.334,-1.946,0.218,-0.842,0.887,"TJK"
0.557,1.266,-0.673,0.784,-0.892,0.742,"TGO"
1.202,1.169,1.811,0.85,1.588,0.141,"TTO"
-2.382,-2.024,-1.007,0.194,-1.289,0.895,"TKM"
-1.365,-1.474,0.596,0.639,0.147,0.72,"UZB"
2.16,1.708,2.803,0.78,2.06,0.045,"AUT"
-1.704,-1.537,1.12,0.68,-0.919,0.521,"BHR"
2.279,2.687,2.263,0.804,1.721,0.099,"BRB"
2.492,2.237,2.472,0.9,2.583,0.045,"BEL"
