"trust_gov","country_id"
38.7619047619048,"DZA"
81.3373253493014,"AZE"
31.767955801105,"AUS"
41.0764872521246,"ARM"
56.0576293385724,"BLR"
91.8454935622318,"CHN"
47.8632478632479,"TWN"
46.9450101832994,"CYP"
53.3068783068783,"EST"
33.9425587467363,"GEO"
40.6798245614035,"PSE"
43.7781109445277,"DEU"
58.6984536082474,"GHA"
5.13610683102208,"HTI"
59.6984924623116,"HKG"
16.6160081053698,"HUN"
50.3917860037828,"IND"
39.7224631396357,"IRQ"
27.4238227146814,"JPN"
75.0666666666667,"KAZ"
55.5555555555556,"JOR"
49.874686716792,"KOR"
62.9688747007183,"KWT"
57.9370395177495,"KGZ"
27.8855975485189,"LBN"
26.7748478701826,"LBY"
75.1926040061633,"MYS"
47.6702508960573,"MAR"
34.5835631549917,"NLD"
49.4736842105263,"NZL"
36.2706083001706,"NGA"
36.6379310344828,"PAK"
56.5943238731219,"PHL"
17.6724137931034,"POL"
83.5707502374169,"QAT"
19.2704748795595,"ROU"
49.618966977138,"RUS"
63.5232481990832,"RWA"
79.0567951318458,"SGP"
7.98076923076923,"SVN"
47.9964902018134,"ZAF"
46.8666666666667,"ZWE"
21.0076857386849,"ESP"
63.8818565400844,"SWE"
53.8528896672504,"THA"
36.6982124079916,"TTO"
19.3171608265948,"TUN"
57.9283887468031,"TUR"
24.8666666666667,"UKR"
44.2763157894737,"EGY"
32.2359396433471,"USA"
97.1428571428571,"UZB"
29.7619047619048,"YEM"
22.6005855858667,"ARG"
33.4735071488646,"BOL"
7.21476510067114,"BRA"
39.7115351934217,"CHL"
22.3760866134554,"COL"
33.9468302658487,"CRI"
22.2787385554425,"DOM"
26.1633011413521,"ECU"
10.435663627153,"SLV"
16.2442103529089,"GTM"
25.6306767490277,"HND"
16.2553191489362,"MEX"
20.9441464050046,"NIC"
16.3286004056795,"PAN"
27.2790265899743,"PRY"
13.2139812446718,"PER"
39.3553859202714,"URY"
17.5191020434142,"VEN"
