"","country_id","country","region","X.x","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","X.y","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","X.x.x","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","X.y.y","share_health_ins","X.x.x.x","pandemic_prep","X.y.y.y","pop_den_2018","X.x.x.x.x","life_exp_2017","X.y.y.y.y","resp_disease_prev","X.x.x.x.x.x","detect_index","X.y.y.y.y.y","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","X.x.x.x.x.x.x","health_index","X.y.y.y.y.y.y","respond_index","X","state_fragility","pr","share_older","pop_tot_log","pop_density_log"
"31","BTN","Bhutan","South Asia",30,0.3588973,86.7117154922691,NA,11.3454449151598,0.754394,24889,20399,12.5276125187006,2649712.66204277,19.7775277714448,NA,6.59576939457687,0,0.712240916240276,0.431698552411759,2.25194620748294,28,25.7713537330923,7,40.55,0.72,0.768,1,0.4,0.866,1.943,1.769,0.77,1.938,0.151,NA,NA,NA,0,-0.377963492033085,1,1,1145,NA,1329,1145,0.000873362445414847,NA,0,NA,NA,NA,0,19,25.8,0.477999985218048,0.605000019073486,0.378703504800797,0.60500002,3.56699991226196,20,90,85,40.3,31,19.7775277714448,29,71.129,21,3.252841413536,85,42.8,20,38.1,170,57,47.3,62.9,217,0.6,78,27.9,78,42,71,6,0,6.00322908188559,-0.28184050103492,2.98454633210633
"32","BWA","Botswana","Sub-Saharan Africa",31,0.3334411,77.1210653162584,NA,17.6298824358112,2.254126,38614,56616,12.4427955782848,228718290.832085,3.97742487604327,NA,7.10033436685768,0,NA,NA,NA,29,34.1129460158256,8,58.05,0.60607,0.772513256,7,0.088,0.359,0.786,0.644,0.783,2.272,0.238,NA,10.9694236067037,NA,0,-0.133954341966039,2,2,NA,NA,1687,1687,0.000592768227622999,NA,0,NA,NA,NA,0,22,22.5,0.619000017642975,0.410248011350632,0.598619282245636,0.3513,3.17300009727478,NA,NA,139,31.1,32,3.97742487604327,30,68.812,24,3.352067068764,134,28.2,23,38.4,180,87.7,51.5,60,521,0.7,138,13.3,160,23.9,40,3,0,4.22469728843907,0.812762314676321,1.38063459382159
"33","CAF","Central_African_Republic","Sub-Saharan Africa",36,-1.720417,65.8636468647533,NA,0.933109550675102,4.666377,52386,79480,NA,17994743.8433,7.49041221227006,NA,1.6651721924121,0,NA,1.09055180012908,NA,30,44.294320550801,6,NA,0.640722,0.82684668,0,0,2.424,0.123,-1.976,0.391,-0.684,0.781,NA,NA,NA,0,-0.996654688698862,3,NA,NA,NA,291,291,0.00343642611683849,NA,0,NA,NA,NA,0,32,19.7,0.221000000834465,0.829509973526001,0.791633188724518,0.79065001,3.04299998283386,31,6,159,27.3,33,7.49041221227006,31,52.24,34,4.9194288529,163,17.7,33,4.7,100,36.8,18.6,25.1,4,0.4,142,12.8,58,46.6,166,23,0,2.82587540612342,1.54038296759207,2.01362383103079
"34","CAN","Canada","North America",34,1.716108,66.2239712085106,NA,48.7867616479385,37.057765,2927422,3458504,18.3084075126578,46542783393.9787,4.07518823864492,45.9338791748504,21.801663648343,0.893648264234786,NA,21.4702898284988,NA,31,15.8702508744405,10,30.75,0.578382,0.80568456,1,0.043,2.115,3.004,2.218,0.866,2.306,0.034,51.2445748079149,41.11111,NA,0,0.763042381127247,4,4,NA,NA,1314,1314,0.00076103500761035,5.0552,0,NA,251,NA,1,31,40.1,0.785000026226044,0.712419986724854,0.695767819881439,0.59634006,3.82100009918213,30,100,5,75.3,34,4.07530821431988,32,82.2489756097561,32,4.2290833128677,4,96.4,32,253.9,270,99.9,93.8,98.5,3465,0.9,4,67.7,17,60.7,2,0,0,17.2323560257884,3.61247791142935,1.40491693915843
"35","CHE","Switzerland","Europe & Central Asia",38,2.039621,120.032841308399,NA,68.4883237282712,8.513227,712120,873315,17.1778976355771,-76220614842.5639,215.437463043118,16.1017555387634,29.3866855419963,0,NA,36.6985242602979,NA,33,14.9109547691069,10,28.6375,0.541166,0.785280592,0,0,2.454,3.063,2.345,0.877,2.752,0.02,110.551077959332,49.42904,NA,0,0.763042381127247,3,NA,1329,NA,1329,1329,0.000752445447705041,5.22625821917808,0,NA,1,NA,0,158,42,0.837999999523163,0.5314000248909,0.608301401138306,0.57516503,3.70799994468689,140,100,13,67,36,215.521378417094,34,83.6024390243903,167,4.2025389353153,48,59.1,170,424.8,470,99.9,95.6,99.9,4939,0.9,7,62.5,3,79.3,27,1,1,18.6231965857365,2.14162107164685,5.37267067273367
"36","CHL","Chile","Latin America & Caribbean",41,1.084034,57.530769814281,NA,24.3377003961579,18.72916,926711,1232749,16.7868059687211,6082221197.63492,25.1894460666519,35.6682894481119,2.61551321666127,0.0129487426866861,44.9127020912868,6.63068620824043,71.5624227433859,35,19.7539024707995,10,44.8625,0.16605,0.319815,2,0.09,0.667,1.688,0.716,0.874,2.033,0.071,33.1843098353419,12.64016,39.7115351934217,0,-0.378379918230261,2,2,629,618,629,618,0.00161812297734628,NA,0,NA,NA,NA,0,34,33.1,0.806999981403351,0.186146005988121,0.384105712175369,0.49699998,3.82100009918213,32,93.1,27,58.3,38,25.1894460666519,36,79.909,36,3.3414406424637,30,72.7,35,103.3,220,96.9,77.9,99.9,1171,0.8,43,39.3,18,60.2,41,3,0,11.5299351385754,2.93008166761261,3.22642509991439
"37","CHN","China","East Asia & Pacific",43,0.4771284,38.2461541085001,NA,15.0105564702227,1392.73,71497278,80601282,20.2313271125022,235365050036.341,148.348833270666,27.8875617671767,0.071076396299372,0.335201388534556,35.5795806625965,29.3536726184239,43.8131763544043,36,17.8770027525543,-7,41.8,0.16040128,0.284075382944,34,0.0711,-1.966,-1.538,-0.612,0.442,-0.463,0.536,NA,62.69384,91.8454935622318,0,1.51222266513255,1,1,NA,NA,NA,NA,NA,NA,0,1,5327,NA,1,35,37.4,0.0579999983310699,0.153790339827538,0.664296329021454,0.15359998,0.418000012636185,33,96.9,51,48.2,39,148.348833270666,37,76.47,37,3.0871368573568,64,48.5,36,181.2,420,95.1,77.9,75,442,0.8,30,45.7,47,48.6,74,7,NA,10.9208934969448,7.23902112871884,4.99956648199856
"38","CIV","Cote_dIvoire","Sub-Saharan Africa",39,-0.5705186,59.0440575240393,NA,3.74100149707025,25.069229,378415,338298,13.5663861583903,620330654.359791,78.8340534591195,19.6287488538239,9.58259865535208,1.00622378678011,7.92254850633665,NA,27.2292632853045,37,41.9369721367589,4,50.9166666666667,0.773,0.66676,1,0.11,0.461,0.306,-0.713,0.474,0.974,0.451,NA,10.8830273595156,NA,0,-0.377401992406946,2,2,295,228,295,228,0.0043859649122807,NA,0,NA,NA,NA,0,40,19,0.375,0.820424020290375,0.755107700824738,0.78380001,2.13899993896484,36,1.2,105,35.5,40,78.8340534591195,38,57.017,42,3.25480021928,80,44.5,43,14.4,40,43.9,27.3,29.9,42,0.5,119,17.1,127,29.7,149,16,0,2.85893515113688,3.22164115780818,4.36734505401014
"39","CMR","Cameroon","Sub-Saharan Africa",42,-0.7996525,43.0112830056997,NA,3.60354888184177,25.216237,306085,382035,12.4880019525117,765092012.778526,53.3439889149796,28.0286031575607,1.63631370372888,2.54530394529258,3.40811025210118,1.39488613158826,0.874446502946141,38,42.6315798448676,-4,44.96,0.8358,0.535488,0,0,0.82,-0.354,-1.245,0.817,0.271,0.931,NA,17.0418497224671,NA,0,NA,2,2,1115,2036,1815,1115,0.000896860986547085,NA,0,NA,NA,NA,0,30,18.3,0.155000001192093,0.863489985466003,0.733753383159637,0.886675,1.75699996948242,29,2,115,34.4,41,53.3439889149796,39,58.511,31,3.625504523817,114,35.6,31,8.3,130,71.3,31.9,38.8,23,0.6,101,21.4,128,29.5,148,16,1,2.72887663611347,3.22748811242572,3.97676129876579
"40","COD","Democratic_Republic_of_the_Congo","Sub-Saharan Africa",35,-1.554787,70.962411778229,NA,1.08524528712316,84.068091,1144474,1392567,13.7451357733487,1284643393.84758,37.0825923557045,24.0990056500748,0.70624628058302,0.585519575315312,1.59962111690192,NA,9.99040156967362,39,46.1656420864844,-3,43.8,0.889634,0.375786904,4,0.393,0.356,-0.084,-1.477,0.184,-0.198,0.766,NA,NA,NA,0,NA,5,NA,1481,NA,1390,1390,0.000719424460431655,NA,0,NA,NA,NA,0,46,17.4,0.119999997317791,0.874725997447968,0.702140986919403,0.93255502,1.69400000572205,41,10,161,26.5,42,37.0825923557045,40,60.026,47,3.852251229028,142,25.1,40,9.1,80,77,29.6,19.7,4,0.5,150,11.8,119,31.3,167,24,1,3.01784062159803,4.43162707762164,3.6131476507594
"41","COG","Congo","Sub-Saharan Africa",37,-1.217236,154.911112770302,NA,3.27775939878946,5.244363,59957,80678,12.7185968259317,4313143665.0143,15.3568462664715,64.2080267899076,8.50579936930912,36.7338663636481,NA,2.55973576921092,NA,40,41.7635024604532,-4,47.95,0.7422,0.7074,3,0.38,0.153,-0.354,-0.895,0.211,-1.255,0.682,NA,NA,NA,0,-0.0694237713174864,4,4,1268,374,872,374,0.00267379679144385,NA,0,NA,NA,NA,0,38,18.8,0.105999998748303,0.874725997447968,0.664236128330231,0.87769997,2.28500008583069,NA,NA,174,23.6,43,15.3568462664715,41,63.954,40,3.942360905335,186,7,39,9.5,160,79.3,34.1,15,111,0.6,189,6.3,162,23.6,132,13,0,2.68164122125032,1.65715378547369,2.73156138544498
"42","COL","Colombia","Latin America & Caribbean",44,-0.0852262,36.7513539651455,39.7,14.4588365150194,49.648685,1868387,2340794,17.333128210103,11535119873.131,44.7487021180712,43.8968000864474,0.276047226979187,2.66992801397438,9.2703176583432,15.956632083143,59.250742181647,41,23.077895979964,7,47.6777777777778,0.413008,0.74307392,2,0.264,1.338,0.147,-0.532,0.593,0.102,0.465,NA,4.12783,22.3760866134554,0,0.763042381127247,4,NA,750,807,750,750,0.00133333333333333,NA,0,NA,NA,NA,0,36,27.7,0.532999992370605,0.601400017738342,0.147835105657577,0.65600002,3.10599994659424,34,87.7,65,44.2,44,44.7487021180712,42,76.925,38,4.265018008387,93,41.7,37,182.1,150,94.7,68.5,84.4,526,0.7,64,34.3,70,43.5,116,11,1,8.47793048295237,3.90497190474265,3.80106244135214
"43","COM","Comoros","Sub-Saharan Africa",106,-1.639134,43.0945213236163,NA,3.06683784677933,0.832322,11402,13629,NA,6859922.78066133,447.244477540227,NA,1.59231629704974,0,NA,NA,NA,42,39.5384238311615,-3,54.85,0.546022,0.95244584,0,0,0.629,1.345,0.289,0.73,-0.778,0.766,NA,NA,NA,0,0.288793160716223,3,NA,NA,1474,1775,1474,0.00067842605156038,NA,0,NA,NA,NA,0,37,19.1,0.310999989509583,0,0.0137451002374291,NA,3.00399994850159,NA,NA,160,27.2,45,447.244477540227,43,63.912,39,3.362768527225,149,23.2,38,19,220,49.2,33,34.2,17,0.5,166,9.4,141,27.1,124,12,0,3.00736974392122,-0.183535893802784,6.10310537472227
"44","CPV","Cape_Verde","Sub-Saharan Africa",47,0.3192393,116.987233506893,NA,6.90002663923232,0.543767,8902,16164,11.8524644229622,107974093.736283,134.929776674938,NA,2.86723201832078,0,NA,18.0838149189149,NA,43,28.7777669479759,10,49.9166666666667,0,0,0,0,1.604,1.765,0.556,0.831,1.204,0.247,NA,7.43261703804981,NA,0,NA,3,3,NA,570,374,374,0.00267379679144385,NA,0,NA,NA,NA,0,28,24.2,0.71399998664856,0.417400002479553,0.0766163989901543,NA,3.56100010871887,NA,NA,146,29.3,46,134.929776674938,44,72.57,33,2.789891862923,179,9.3,29,78.8,210,86.8,54.8,65.2,197,0.7,125,16.1,113,32.7,60,5,1,4.60969496126098,-0.609234432700147,4.9047544703234
"45","CRI","Costa_Rica","Latin America & Caribbean",45,0.3781868,66.99026818208,36.3,19.3196030806703,4.999441,221767,255673,14.4825945245888,2763898445.34094,97.9130630630631,27.1579362572736,8.77100991087492,0,15.5820489138808,33.8528951164137,45.8479020611049,44,21.3247441063911,10,45.9777777777778,0.28905,0.49543356,2,0.102,1.903,2,2.238,0.856,1.821,0.192,NA,NA,33.9468302658487,0,-0.375228737546226,2,2,NA,695,695,695,0.00143884892086331,NA,0,NA,NA,NA,0,39,29.7,0.830999970436096,0.236800000071526,0.240958198904991,0.23759997,3.54399991035461,35,100,62,45.1,47,97.9130630630631,45,79.914,41,3.40685633919,54,56,42,115,120,97.4,73.7,97.1,933,0.8,86,24.8,96,36.6,18,1,1,9.54986767520609,1.60932610618401,4.58407997335281
"46","CUB","Cuba","Latin America & Caribbean",46,-0.2448378,27.0947682033132,NA,NA,11.338138,787812,934031,13.237039961031,NA,108.999596231494,18.843199826991,0.117089665081063,0.268737761253663,NA,NA,NA,46,16.2112389922363,-5,NA,0.460238,0.920476,0,0,-1.505,-1.006,1.999,0.27,-0.938,0.841,NA,NA,NA,0,-0.685941713122544,1,1,NA,NA,1095,1095,0.00091324200913242,NA,0,NA,NA,NA,0,42,40.1,0.0780000016093254,0.590799987316132,0.505935788154602,0.21340001,0.446000009775162,38,100,110,35.2,49,108.999596231494,47,78.662,44,3.1636932605119,178,10.5,45,751.9,520,99.8,75.5,90.8,2202,0.8,52,37.4,149,25.9,61,5,1,15.1862942574874,2.42817208728685,4.69134417792406
"47","CUW","Curaçao","Latin America & Caribbean",48,NA,NA,NA,24.9821448487155,0.1598,11113,15553,NA,126888268.156425,NA,NA,23.925115932902,NA,NA,NA,NA,47,18.8839461266221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,78.0170731707317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6871088861076,-1.83383224564996,NA
"48","CYM","Cayman_Islands","Latin America & Caribbean",111,1.204366,NA,NA,NA,0.064174,NA,NA,NA,57383579000,267.391666666667,NA,39.5650941351076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,439,439,0.00227790432801822,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,267.391666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74615713473824,5.58871449988405
"49","CYP","Cyprus","Europe & Central Asia",49,0.9209022,145.345331863109,NA,34.5692098653756,1.189265,74292,88863,12.9027361366177,5206751664.27152,128.708333333333,NA,16.834034154295,0,NA,23.037191371502,NA,48,16.787847956511,10,29.6875,0.3272,0.61984,0,0,1.88,2.064,2.769,0.842,1.934,0.186,16.053162004777,9.02708,46.9450101832994,0,NA,4,4,NA,1053,437,437,0.0022883295194508,8.6842,0,NA,NA,NA,0,43,35.2,0.745000004768372,0.0938540026545525,0.396160095930099,0.35920006,3.67799997329712,39,65,77,43,51,128.708333333333,49,80.672,45,4.3295776870415,76,44.9,46,249.6,340,98.7,90.3,99.4,958,0.9,99,21.9,107,33.9,42,3,1,13.7189776878997,0.173335469242092,4.85754886257063
"50","CZE","Czechia","Europe & Central Asia",50,0.9222081,150.389135288693,NA,39.4956274010371,10.629928,868331,1196119,15.5607374876695,8324668391.46793,137.657705257705,12.1501481477579,3.84222568016916,0.00934287670303137,NA,47.1173542554473,NA,49,15.5866055197434,9,25.1,0.054432,0.108864,0,0,1.076,1.966,3.021,0.887,1.336,0.273,21.3988362113384,NA,NA,1,0.429561685871885,5,5,234,1037,599,234,0.00427350427350427,5.52359677419355,0,NA,NA,NA,0,44,40.3,0.758000016212463,0.322163999080658,0.659090578556061,0.32159501,3.40400004386902,40,100,42,52,52,137.602887852888,50,79.4756097560976,46,2.7835469928298,60,50.7,47,367.7,650,99.9,89,99.1,2034,0.9,53,37.4,59,46.6,19,1,1,19.4211099077999,2.36367341904776,4.9247702071938
"51","DEU","Germany","Europe & Central Asia",51,1.619633,88.670840845959,NA,53.6599892931257,82.905782,7784757,10008212,18.5141365069729,167955928198.984,237.30759674834,9.58303125347759,14.8790512953233,0.0111101742473988,NA,55.544414128872,NA,50,13.6210301045356,10,28.8375,0,0,0,0,2.469,2.282,2.734,0.889,2.931,0.036,51.5931560782897,42.03041,43.7781109445277,0,0.763042381127247,6,6,NA,NA,568,568,0.00176056338028169,5.25131353383459,1,3,9,NA,0,64,45.5,0.823000013828278,0.168201997876167,0.657119572162628,0.094923019,3.71900010108948,56,100,14,66,53,237.3709697733,51,80.990243902439,65,4.114014427398,10,84.6,66,419.1,830,99.9,92,99.2,4626,0.9,22,48.2,28,54.8,21,1,1,21.4616744101153,4.41770480639181,5.46935717619665
"52","DJI","Djibouti","Middle East & North Africa",52,-0.8990966,327.658169097411,NA,5.10072666784201,0.95892,20919,22501,NA,170003376.097232,41.3684210526316,NA,12.6541204084874,0,8.50192378981733,NA,9.52545220283742,51,29.5741159613441,3,42.525,0.5598,0.90576,0,0,-0.845,-1.198,-1.097,0.556,-0.058,0.74,NA,NA,NA,0,NA,1,1,NA,393,1079,393,0.00254452926208651,NA,0,NA,NA,NA,0,48,22.8,0.127000004053116,0.796166002750397,0.0434568002820015,0.60580003,1.2059999704361,43,30,175,23.2,54,41.3684210526316,52,65.893,49,3.353314586354,165,17,49,22.9,140,52.5,35,51.4,56,0.5,167,9.3,164,23.2,125,12,1,4.52801067868018,-0.0419476278077653,3.72251781326277
"53","DMA","Dominica","Latin America & Caribbean",54,-0.2895034,108.022408078472,NA,11.5334008897018,0.071625,NA,NA,NA,13286694.9945287,95.5,NA,9.24600990643918,0,NA,NA,NA,NA,NA,NA,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1731,1731,0.000577700751010976,NA,0,NA,NA,NA,0,NA,NA,NA,0.200261995196342,0.462809890508652,NA,NA,44,13.4,172,24,55,95.5,NA,NA,50,3.2567672836897,177,10.7,50,178,380,94.2,61.9,77.9,373,0.7,174,8.5,174,20.9,NA,NA,NA,NA,-2.63631110394723,4.55912624748668
"54","DNK","Denmark","Europe & Central Asia",53,1.871631,105.236145262923,NA,56.1028219431727,5.793636,529516,618373,NA,1166205135.1967,137.976565849012,22.7978768427979,10.0989913532723,0.383322200222548,NA,2.11762260043261,NA,52,16.4582625623987,10,25.5125,0,0,0,0,2.447,3.029,2.16,0.912,2.964,0.016,42.2147282665715,NA,NA,0,1.51222266513255,6,6,NA,NA,1193,1193,0.000838222967309304,3.8011,1,NA,NA,NA,0,47,41.1,0.833999991416931,0.0818599984049797,0.233303904533386,0.12754399,3.84699988365173,42,100,8,70.4,56,138.067301738509,53,81.0048780487805,48,4.2207698434522,7,86,48,365.5,250,99.9,92.1,99.6,4284,0.9,5,63.8,19,58.4,3,0,1,19.812929220959,1.75676007376304,4.92708385804908
"55","DOM","Dominican_Republic","Latin America & Caribbean",55,-0.4002573,52.0559663850788,35.2,17.7117655341712,10.627165,352826,399883,NA,2744500000,219.97857586421,29.8494659676405,3.94707985294239,0,6.48566022251038,1.49840037761973,29.9558549000357,53,27.9771295026574,7,44.1571428571429,0,0,0,0,0.544,0.806,-0.817,0.85,-0.7,0.96,NA,NA,22.2787385554425,0,-0.129809537769207,2,2,67,126,67,67,0.0149253731343284,NA,0,NA,NA,NA,0,49,25.8,0.291000008583069,0.429399996995926,0.311844289302826,0.38679999,1.54299998283386,45,26.5,91,38.3,57,219.97857586421,54,73.689,51,3.039886524686,106,37.1,51,149.4,160,93.8,61.2,82.7,428,0.7,126,16.1,54,47.3,43,3,1,7.08287675970026,2.36341345875915,5.39353015917498
"56","DZA","Algeria","Middle East & North Africa",56,-0.4439246,57.9645690084949,NA,11.4795601711788,42.228429,1313567,1373215,15.6784183739724,1506316885.7744,17.7300750711665,6.37850392208528,0.611072022730303,12.3136966845008,NA,NA,NA,54,30.1486785862257,2,34.95,0.4032,0.8064,1,0.28,0.571,0.654,-0.339,0.611,-0.603,0.627,NA,17.92863,38.7619047619048,0,-0.443002060532276,3,3,660,1737,811,660,0.00151515151515152,NA,0,2,NA,NA,0,3,26.9,0.155000001192093,0.339399993419647,0.009128499776125,0.31999999,2.59500002861023,2,85.2,173,23.6,58,17.7300750711665,55,76.499,3,3.589836161482,175,12,3,120.7,190,75.1,63.1,87.5,676,0.8,139,13.1,181,19.6,113,11,1,6.36249574901306,3.74309366721196,2.8752623542095
"57","ECU","Ecuador","Latin America & Caribbean",57,-0.2613976,45.8665551000923,34.4,11.5717752157336,17.084357,565818,656958,15.4954557678965,1455697145.23622,68.7886817522951,27.6345957884163,2.40029910130242,4.9569068250681,10.930421439919,NA,67.0504011700022,60,28.0285920021109,5,42.7375,0.3266,0.560392,3,0.19,0.518,1.128,0.649,0.837,1.075,0.365,NA,7.1607,26.1633011413521,0,-0.375228737546226,2,2,NA,345,345,345,0.00289855072463768,NA,0,NA,NA,NA,0,50,26.1,0.294999986886978,0.654999971389771,0.141712501645088,0.65499997,2.67499995231628,46,22.8,45,50.1,64,68.7886817522951,61,76.584,52,3.772045185173,32,71.2,52,166.5,150,94.4,62.2,86.1,483,0.8,60,35.2,85,39.5,75,7,1,7.15728429229148,2.83816324950638,4.23103922199182
"58","EGY","Egypt","Middle East & North Africa",59,-0.5848041,48.2782710596295,NA,11.3663363290551,98.423595,2302105,2845255,16.3284240782151,8141300000,98.8734692852479,25.5652539413948,0.537267286680377,4.0762495109675,NA,NA,NA,61,33.7987207092348,-4,43.55,0.1638,0.3276,1,0.09,-0.923,-1.645,-1.628,0.4,-1.611,0.908,NA,20.55154,44.2763157894737,0,-0.688114967983264,1,NA,NA,745,249,249,0.00401606425702811,NA,0,1,NA,NA,0,51,25.2,0.120999999344349,0.18359200656414,0.197879999876022,0.16379994,0.86599999666214,47,51.1,87,39.9,65,98.8734692852479,62,71.656,53,3.029323567603,97,41.5,53,81.4,160,75.1,58,93.2,151,0.7,128,15.7,63,45,107,10,0,5.22980287399581,4.58928056189936,4.5938409446557
"59","ERI","Eritrea","Sub-Saharan Africa",60,-1.727732,NA,NA,NA,NA,NA,NA,11.5398594662103,61015000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,NA,0.6126,0.869136,0,0,-2.149,-2.498,0.612,0.092,-2.05,0.697,NA,NA,NA,0,-1.02854486475107,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,54,18.4,0.0130000002682209,0.652400016784668,0.425319105386734,0.64680004,0.17399999499321,NA,NA,178,22.4,NA,NA,64,65.538,56,3.369164125201,164,17.2,56,5.3,70,64.7,27.6,11.3,16,0.4,164,9.7,194,16,141,15,NA,NA,NA,NA
"60","ESP","Spain","Europe & Central Asia",61,1.002136,67.519691097852,NA,40.3299841465671,46.79654,3930431,5138681,18.2059034229316,49074301840.6961,93.6747673244434,25.6242213633743,12.6902371918259,0.0017225102188831,NA,4.73330175272383,NA,63,14.6670011075355,10,33.575,0.501838,0.714068144,4,0.302,2.644,2.09,2.104,0.897,2.652,0.025,53.601736271048,19.01944,21.0076857386849,0,1.29815435780709,4,4,1359,NA,1359,1359,0.000735835172921266,3.18725161290323,0,NA,1,1,0,153,41.4,0.75900000333786,0.416462987661362,0.451364308595657,0.50216198,3.6029999256134,135,99.2,15,65.9,67,93.5290582615872,65,83.3292682926829,161,4.1766247543894,11,83,162,387.2,300,98.3,91.9,99.9,2322,0.9,12,59.6,15,61.9,26,1,1,19.3798772302397,3.84580926856659,4.53982886081698
"61","EST","Estonia","Europe & Central Asia",58,1.191938,145.000501615964,NA,35.3080862153163,1.321977,89079,170367,10.3729285235194,1180195916.01414,30.4112491373361,NA,15.4163092221449,0.270748503929589,NA,32.245974547037,NA,64,16.3570737459559,9,32.8,0.471852,0.793130784,3,0.29,2.558,3.256,2.464,0.868,1.765,0.042,20.3148842671288,38.51175,53.3068783068783,0,NA,3,NA,NA,NA,1089,1089,0.000918273645546373,5.12032280701754,0,NA,NA,NA,0,55,40.9,0.827000021934509,0.506169974803925,0.498456805944443,0.51104999,3.76699995994568,49,92.9,29,57,68,30.3861053600184,66,77.6414634146342,57,3.075525997748,19,77.6,57,343,500,99.9,85.9,99.6,1499,0.9,66,31.6,56,47,4,0,1,19.6256061943589,0.279128343396153,3.41481257737759
"62","ETH","Ethiopia","Sub-Saharan Africa",62,-0.6074697,31.1661557783355,NA,2.10312900246054,109.224559,1769192,2054879,16.2579658483433,3360419368.65295,109.224559,4.02809957786142,1.07952601222951,0,NA,NA,13.2479485078869,65,40.7829819073234,1,34.0166666666667,0.75915316,0.687223204736,2,0.011,0.758,1.052,-0.059,0.146,0.156,0.394,NA,22.52632,NA,0,0.790473435632227,3,3,234,1689,171,171,0.00584795321637427,NA,0,NA,NA,NA,0,57,18.2,0.0949999988079071,0.723471999168396,0.624867975711823,0.76026601,3.09200000762939,NA,NA,84,40.6,69,109.224559,67,65.872,58,2.63952544952,119,33.7,59,2.2,30,29.8,28.1,7.1,19,0.5,73,29,65,44.7,160,20,0,3.50110912326961,4.69340593729216,4.69340593729216
"63","FIN","Finland","Europe & Central Asia",63,1.984208,77.8544100523346,NA,48.1999811664166,5.515525,525215,672812,16.408137935916,-10591740312.5275,18.1485472672831,23.1908295221216,5.73968325726902,0,NA,32.0746921302407,NA,68,16.1451829725838,10,25.425,0.1314,0.256104,0,0,2.19,2.974,0.974,0.866,2.953,0.041,30.3198476593795,57.98817,NA,0,0.790473435632227,3,3,NA,1418,1129,1129,0.000885739592559787,4.2039474137931,1,NA,NA,NA,0,59,42.3,0.795000016689301,0.13149730861187,0.253104388713837,0.13150001,3.63199996948242,51,100,10,68.7,72,18.1568556480537,70,81.4292682926829,61,4.1743321345309,45,61.6,61,319.6,440,99.9,95.9,99.4,3181,0.9,9,60.8,7,69.2,5,0,1,21.7209966412989,1.70756684309765,2.89859051713738
"64","FJI","Fiji","East Asia & Pacific",64,0.2595362,NA,NA,13.8080655060453,0.883483,21636,26514,14.3284641160712,468861002.876235,48.3570333880679,NA,1.54134137387981,0,NA,NA,NA,69,29.5126222009931,2,40,0.528158,0.89773888,0,0,0.042,0.288,0.822,0.552,0.374,0.22,NA,NA,NA,0,NA,1,1,NA,NA,978,978,0.00102249488752556,NA,0,NA,NA,NA,0,58,27.1,0.351000010967255,0.547941982746124,0.568199396133423,0.56573093,3.11100006103516,50,100,168,25.7,73,48.3570333880679,71,67.252,60,3.282805770381,166,16.4,60,83.7,230,83.3,47.9,95.7,200,0.7,179,7.5,137,28.3,55,4,NA,5.45001997774717,-0.123883229060027,3.87861167953219
"65","FLK","Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,608,0.00164473684210526,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
