"","country_id","country","region","X.x","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","X.y","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","X.x.x","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","X.y.y","share_health_ins","X.x.x.x","pandemic_prep","X.y.y.y","pop_den_2018","X.x.x.x.x","life_exp_2017","X.y.y.y.y","resp_disease_prev","X.x.x.x.x.x","detect_index","X.y.y.y.y.y","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","X.x.x.x.x.x.x","health_index","X.y.y.y.y.y.y","respond_index","X","state_fragility","pr","share_older","pop_tot_log","pop_density_log"
"11","AUS","Australia","East Asia & Pacific",13,1.596495,43.1922611196402,NA,49.575981131221,24.982688,1837298,2074185,18.1418612298843,61493831898.8603,3.24787091037205,60.8916182277904,28.2184096915625,0.212180595930196,NA,NA,NA,10,19.1906170385658,10,32.4714285714286,0.2824,0.495296,1,0.02,1.048,1.049,1.383,0.898,2.861,0.041,46.5059860011204,54.43383,31.767955801105,0,0.514472000666193,6,6,811,NA,811,811,0.00123304562268804,7.03110649350649,0,NA,6,NA,0,8,37.2,0.834999978542328,0.0929019972681999,0.821085512638092,0.14850396,3.81399989128113,9,100,4,75.5,12,3.24912948744283,10,82.4975609756098,10,3.8827269902903,2,97.3,9,349.6,380,99.9,95.9,100,3094,0.9,6,63.5,10,65.9,30,2,1,15.6567740028615,3.21818310499318,1.17799967716602
"12","AUT","Austria","Europe & Central Asia",12,1.453342,107.790261820777,NA,55.6871892771302,8.840521,726772,953036,16.3754864915074,4220346205.72346,107.127966860564,21.4981334244894,17.465726250517,0.0315537957214575,NA,33.7050727477016,NA,11,14.2979476320233,10,27.75,0.130968,0.25765056,1,0.006,2.16,1.708,2.803,0.78,2.06,0.045,47.8512265139654,NA,NA,0,0.738101406587483,4,4,NA,774,1664,774,0.00129198966408269,5.39767731958763,1,2,NA,NA,0,9,42.7,0.757000029087067,0.106776185333729,0.414621710777283,0.12563103,3.72199988365173,10,99.3,26,58.5,13,107.206926667578,11,81.6414634146342,11,4.1732863109335,28,73.2,10,523,760,99.9,93.9,100,3840,0.9,25,46.6,76,42.3,1,0,1,19.0012330721232,2.17934581156444,4.67402407184892
"13","AZE","Azerbaijan","Europe & Central Asia",15,-0.1004674,92.0112485149855,NA,14.1973543897433,9.9398,256084,359716,14.6394872969798,1402998000,120.234667956937,22.9957242600455,2.70906158396255,17.8679323602845,50.6120971907671,7.37133985307242,26.9149292187285,12,23.3695698603865,-7,NA,0.151706,0.278217208,2,0.033,-0.764,-0.599,-1.404,0.508,-0.974,0.905,NA,16.16766,81.3373253493014,0,0.686552403409999,1,1,NA,1857,255,255,0.00392156862745098,NA,0,NA,NA,NA,0,10,29.7,0.0599999986588955,0.204671993851662,0.489894688129425,0.18754703,0.694000005722046,11,2.9,117,34.2,14,120.265319946776,12,72.693,12,2.077154413907,75,45,11,340.2,470,99.8,65.6,89.3,238,0.8,118,17.9,151,25.5,104,10,0,6.19529567999356,2.29654689974171,4.78944539945926
"14","BDI","Burundi","Sub-Saharan Africa",23,-1.419982,39.2100430604203,NA,0.761524193384446,11.175378,110024,141082,NA,983747.12499426,435.178271028037,NA,2.56563222872762,0,NA,NA,NA,13,45.5016807491186,-1,38.65,0.2578,0.50132,0,0,-1.471,-2.441,-0.139,0.268,-2.408,0.946,NA,55.5687466334615,NA,0,0.369704122618734,NA,NA,70,70,70,70,0.0142857142857143,NA,0,NA,NA,NA,0,27,17.6,0.0520000010728836,0.295143991708755,0.515826284885406,0.3276,1.66400003433227,27,28.4,177,22.8,15,435.178271028037,13,60.898,29,2.430898788865,176,11.4,28,2.6,80,61.6,27.4,50.5,15,0.4,172,8.9,135,28.4,162,21,1,2.24695755257674,2.41371296543092,6.07575576559129
"15","BEL","Belgium","Europe & Central Asia",19,1.171748,165.314651522183,NA,51.2503261535632,11.433256,938426,1209716,16.4284796730182,-54788945348.7546,377.584412153236,26.9539928083479,12.2835331942319,0,NA,34.7793712261157,NA,14,17.0554227603857,8,25.25,0.4918,0.95528,1,0.01,2.492,2.237,2.472,0.9,2.583,0.045,NA,NA,NA,0,0.738101406587483,4,NA,1603,NA,1542,1542,0.000648508430609598,6.49759473684211,1,NA,NA,NA,0,16,41.6,0.791999995708466,0.555400013923645,0.212681099772453,0.56700003,3.88000011444092,17,99,19,61,16,377.214927344782,14,81.4390243902439,17,4.2785594646233,42,62.5,17,301.1,620,99.9,92.9,99.5,3926,0.9,10,60.5,53,47.3,31,2,1,18.7885410770125,2.43652630163251,5.9337941520454
"16","BEN","Benin","Sub-Saharan Africa",24,-0.5659866,61.8447185146293,NA,3.1607770925266,11.485048,158294,215381,NA,140607611.803344,101.853919829727,NA,2.25554096484421,0.133133579592797,NA,NA,NA,15,42.4476823945995,7,45.8666666666667,0.77765,0.667999,0,0,-0.283,0.537,-0.143,0.878,0.063,0.385,NA,31.9907761379346,NA,0,0.740836161074341,3,NA,NA,360,1145,360,0.00277777777777778,NA,0,NA,NA,NA,0,18,18.4,0.605000019073486,0.787216007709503,0.554399371147156,0.62227798,2.24000000953674,19,9,150,28.8,17,101.853919829727,15,61.174,19,2.790786304386,144,24.2,19,15.3,50,32.9,30.8,13.9,17,0.5,191,5.6,105,34.1,105,10,1,3.25357804338301,2.44104601549672,4.62353962823294
"17","BES","Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BFA","Burkina_Faso","Sub-Saharan Africa",20,-0.5783429,68.0304694573599,NA,1.8596412905768,19.751535,186791,288625,11.9285521027496,268414907.946195,72.1912828947368,12.8161228988025,3.89203985292924,0,2.18617357095934,NA,2.28712048366173,16,44.9480813221662,6,42.6,0.4422,0.8844,0,0,1.252,1.425,-0.76,0.63,2.753,0.449,NA,32.1296910337185,NA,0,NA,3,3,NA,256,256,256,0.00390625,NA,0,NA,NA,NA,0,26,17.1,0.541000008583069,0.737738013267517,0.579798817634583,0.70383298,2.67000007629394,26,1,145,30.1,18,72.1912828947368,16,60.768,28,3.105730613319,122,33.3,27,4.7,40,34.6,30.1,22.5,46,0.4,192,5.6,89,38,147,16,1,2.40698254591352,2.98323120984596,4.2793193030797
"19","BGD","Bangladesh","South Asia",18,-0.7483993,38.2448929879071,NA,4.44142305649638,161.356039,4204605,4118771,15.6046259032618,2940222419.73224,1239.57931166936,15.1180991744598,0.883753735396142,0.0173925854962997,1.49869191216075,NA,13.0917296932175,17,27.706022482501,-6,35.1142857142857,0.188822,0.37303984,0,0,1.53,-1.13,-2.096,0.75,-0.758,0.891,NA,NA,NA,0,-0.996654688698862,3,3,NA,NA,1389,1389,0.000719942404607631,NA,1,NA,NA,NA,0,13,25.1,0.143999993801117,0.0454340018332005,0.209049805998802,0.22334999,2.83800005912781,14,1.4,113,35,19,1239.57931166936,17,72.052,14,3.894466473409,59,50.9,14,47.2,80,72.9,47.6,46.9,16,0.6,132,14.7,165,23.1,114,11,0,5.15839137573277,5.08361334574922,7.12252733625299
"20","BGR","Bulgaria","Europe & Central Asia",21,0.2718757,131.250967104099,NA,21.9926481077161,7.025037,595668,881156,13.837903943992,1222580000,64.7110998526161,18.1126163463623,1.428196392424,0.008284752010467,NA,25.1886659778231,NA,18,14.5954653179814,9,33.9125,0.298306,0.515108312,2,0.15,0.523,0.768,1.165,0.861,0.207,0.666,0.824521012011652,19.43888,NA,1,0.24185070388497,5,NA,NA,605,430,430,0.00232558139534884,7.70983606557377,0,NA,NA,NA,0,25,43,0.633000016212463,0.402114123106003,0.596501171588898,0.29948515,2.41599988937378,25,87,61,45.6,20,64.7035372144436,18,74.8121951219512,27,2.7405425099842,57,53.3,26,399.9,680,98.4,77.2,86,798,0.8,39,41,172,21.7,32,2,1,21.0222949715425,1.94948048210985,4.16993274556538
