"vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","country_id"
0.230000004172325,0.769344568252563,0.271683901548386,0.75079703,2.29200005531311,"AFG"
0.430000007152557,0.220425993204117,0.471851587295532,0.096599996,2.16799998283386,"ALB"
0.155000001192093,0.339399993419647,0.009128499776125,0.31999999,2.59500002861023,"DZA"
NA,0.713945984840393,0.232568502426147,NA,NA,"AND"
0.150999993085861,0.786719977855682,0.627643525600433,0.7561,1.2940000295639,"AGO"
NA,0.164256006479263,0.683991312980652,NA,NA,"ATG"
0.0599999986588955,0.204671993851662,0.489894688129425,0.18754703,0.694000005722046,"AZE"
0.670000016689301,0.254999995231628,0.223620697855949,0.25489998,2.95499992370606,"ARG"
0.834999978542328,0.0929019972681999,0.821085512638092,0.14850396,3.81399989128113,"AUS"
0.757000029087067,0.106776185333729,0.414621710777283,0.12563103,3.72199988365173,"AUT"
NA,0.422845155000687,0.681459426879883,NA,NA,"BHS"
0.0359999984502792,0.502129971981049,0.552825093269348,0.55059999,0.493999987840653,"BHR"
0.143999993801117,0.0454340018332005,0.209049805998802,0.22334999,2.83800005912781,"BGD"
0.232999995350838,0.127153992652893,0.457560896873474,0.13379997,1.77400004863739,"ARM"
0.66100001335144,0.142342001199722,0.693402886390686,NA,3.67499995231628,"BRB"
0.791999995708466,0.555400013923645,0.212681099772453,0.56700003,3.88000011444092,"BEL"
0.477999985218048,0.605000019073486,0.378703504800797,0.60500002,3.56699991226196,"BTN"
0.419999986886978,0.739625036716461,0.208468601107597,0.74339998,3.1800000667572,"BOL"
0.372999995946884,0.630038022994995,0.685085713863373,0.68050599,2.92199993133545,"BIH"
0.619000017642975,0.410248011350632,0.598619282245636,0.3513,3.17300009727478,"BWA"
0.71399998664856,0.540835976600647,0.60543018579483,0.54949999,2.61100006103516,"BRA"
NA,0.701539993286133,0.581293225288391,NA,NA,"BLZ"
0.421000003814697,0.111022002995014,0.670808076858521,NA,3.17000007629394,"SLB"
NA,0.541599988937378,0.440405309200287,NA,NA,"BRN"
0.633000016212463,0.402114123106003,0.596501171588898,0.29948515,2.41599988937378,"BGR"
0.252999991178513,0.506186008453369,0.197385504841805,0.52150899,3.40300011634827,"MMR"
0.0520000010728836,0.295143991708755,0.515826284885406,0.3276,1.66400003433227,"BDI"
0.108999997377396,0.32218399643898,0.611620724201202,0.37165403,0.358000010251999,"BLR"
0.0920000001788139,0.210464000701904,0.0964533984661102,0.18625003,2.18099999427795,"KHM"
0.155000001192093,0.863489985466003,0.733753383159637,0.886675,1.75699996948242,"CMR"
0.785000026226044,0.712419986724854,0.695767819881439,0.59634006,3.82100009918213,"CAN"
0.71399998664856,0.417400002479553,0.0766163989901543,NA,3.56100010871887,"CPV"
0.221000000834465,0.829509973526001,0.791633188724518,0.79065001,3.04299998283386,"CAF"
0.467999994754791,0.41499999165535,0.485296189785004,0.42847097,2.58999991416931,"LKA"
0.104999996721744,0.862016022205353,0.64107882976532,0.77248204,1.27699995040894,"TCD"
0.806999981403351,0.186146005988121,0.384105712175369,0.49699998,3.82100009918213,"CHL"
0.0579999983310699,0.153790339827538,0.664296329021454,0.15359998,0.418000012636185,"CHN"
0.688000023365021,0.274399995803833,0.684494316577911,0.27440006,2.68300008773804,"TWN"
0.532999992370605,0.601400017738342,0.147835105657577,0.65600002,3.10599994659424,"COL"
0.310999989509583,0,0.0137451002374291,NA,3.00399994850159,"COM"
0.105999998748303,0.874725997447968,0.664236128330231,0.87769997,2.28500008583069,"COG"
0.119999997317791,0.874725997447968,0.702140986919403,0.93255502,1.69400000572205,"COD"
0.830999970436096,0.236800000071526,0.240958198904991,0.23759997,3.54399991035461,"CRI"
0.639999985694885,0.369026005268097,0.444733113050461,0.37515497,3.19000005722046,"HRV"
0.0780000016093254,0.590799987316132,0.505935788154602,0.21340001,0.446000009775162,"CUB"
0.745000004768372,0.0938540026545525,0.396160095930099,0.35920006,3.67799997329712,"CYP"
0.758000016212463,0.322163999080658,0.659090578556061,0.32159501,3.40400004386902,"CZE"
0.605000019073486,0.787216007709503,0.554399371147156,0.62227798,2.24000000953674,"BEN"
0.833999991416931,0.0818599984049797,0.233303904533386,0.12754399,3.84699988365173,"DNK"
NA,0.200261995196342,0.462809890508652,NA,NA,"DMA"
0.291000008583069,0.429399996995926,0.311844289302826,0.38679999,1.54299998283386,"DOM"
0.294999986886978,0.654999971389771,0.141712501645088,0.65499997,2.67499995231628,"ECU"
0.512000024318695,0.197799995541573,0.35588338971138,0.19780004,2.49300003051758,"SLV"
0.046000000089407,0.346700012683868,0.119511097669601,NA,0.349999994039536,"GNQ"
0.0949999988079071,0.723471999168396,0.624867975711823,0.76026601,3.09200000762939,"ETH"
0.0130000002682209,0.652400016784668,0.425319105386734,0.64680004,0.17399999499321,"ERI"
0.827000021934509,0.506169974803925,0.498456805944443,0.51104999,3.76699995994568,"EST"
0.351000010967255,0.547941982746124,0.568199396133423,0.56573093,3.11100006103516,"FJI"
0.795000016689301,0.13149730861187,0.253104388713837,0.13150001,3.63199996948242,"FIN"
0.83899998664856,0.103216841816902,0.402858108282089,0.27207398,3.95799994468689,"FRA"
0.127000004053116,0.796166002750397,0.0434568002820015,0.60580003,1.2059999704361,"DJI"
0.277999997138977,0.768959999084473,0.66744077205658,0.85749996,2.28299999237061,"GAB"
0.554000020027161,0.492273986339569,0.654299080371857,0.49012578,3.38700008392334,"GEO"
0.128000006079674,0.786401987075806,0.0969683974981308,0.76407897,1.42499995231628,"GMB"
