"","pop_den_2018","country_id"
"1",588.027777777778,"ABW"
"2",56.937760009803,"AFG"
"3",24.7130520574316,"AGO"
"4",104.612262773723,"ALB"
"5",163.842553191489,"AND"
"6",37.3723653654038,NA
"7",135.609110109828,"ARE"
"8",16.2585100979651,"ARG"
"9",103.680224798033,"ARM"
"10",277.325,"ASM"
"11",218.831818181818,"ATG"
"12",3.24912948744283,"AUS"
"13",107.206926667578,"AUT"
"14",120.265319946776,"AZE"
"15",435.178271028037,"BDI"
"16",377.214927344782,"BEL"
"17",101.853919829727,"BEN"
"18",72.1912828947368,"BFA"
"19",1239.57931166936,"BGD"
"20",64.7035372144436,"BGR"
"21",2017.27369979138,"BHR"
"22",38.5254745254745,"BHS"
"23",64.92048828125,"BIH"
"24",46.7287999040892,"BLR"
"25",16.7939938623411,"BLZ"
"26",1184.59257167194,"BMU"
"27",10.4801458506416,"BOL"
"28",25.0617162430876,"BRA"
"29",666.606976744186,"BRB"
"30",81.3969639468691,"BRN"
"31",19.7775277714448,"BTN"
"32",3.97742487604327,"BWA"
"33",7.49041221227006,"CAF"
"34",4.07530821431988,"CAN"
"35",92.7664366303472,NA
"36",215.521378417094,"CHE"
"37",861.106093786457,NA
"38",25.1894460666519,"CHL"
"39",148.348833270666,"CHN"
"40",78.8340534591195,"CIV"
"41",53.3439889149796,"CMR"
"42",37.0825923557045,"COD"
"43",15.3568462664715,"COG"
"44",44.7487021180712,"COL"
"45",447.244477540227,"COM"
"46",134.929776674938,"CPV"
"47",97.9130630630631,"CRI"
"48",18.1770161788317,NA
"49",108.999596231494,"CUB"
"50",267.391666666667,"CYM"
"51",128.708333333333,"CYP"
"52",137.602887852888,"CZE"
"53",237.3709697733,"DEU"
"54",41.3684210526316,"DJI"
"55",95.5,"DMA"
"56",138.067301738509,"DNK"
"57",219.97857586421,"DOM"
"58",17.7300750711665,"DZA"
"59",130.810431457567,NA
"60",98.13836364042,NA
"61",95.4316055341949,NA
"62",18.4773754089394,NA
"63",33.4968853034031,NA
"64",68.7886817522951,"ECU"
"65",98.8734692852479,"EGY"
"66",127.582277673283,NA
"67",93.5290582615872,"ESP"
"68",30.3861053600184,"EST"
"69",109.224559,"ETH"
"70",121.078194096678,NA
"71",39.8693125353373,NA
"72",18.1568556480537,"FIN"
"73",48.3570333880679,"FJI"
"74",122.338395739199,"FRA"
"75",34.7399698278226,"FRO"
"76",160.914285714286,"FSM"
"77",8.22476423332169,"GAB"
"78",274.82739222089,"GBR"
"79",65.2752020714511,"GEO"
"80",130.821429199262,"GHA"
"81",3371.8,"GIB"
"82",50.5222122741332,"GIN"
"83",225.30652173913,"GMB"
"84",66.6539473684211,"GNB"
"85",46.6657397504456,"GNQ"
"86",83.2247323506594,"GRC"
"87",327.805882352941,"GRD"
"88",0.136496528200755,"GRL"
"89",160.953779395297,"GTM"
"90",306.977777777778,"GUM"
"91",3.95734823469647,"GUY"
"92",34.4377658355898,NA
"93",7096.19047619048,"HKG"
"94",85.6870319063366,"HND"
"95",44.8957816454125,NA
"96",73.0771979985704,"HRV"
"97",403.59854862119,"HTI"
"98",107.906605545123,"HUN"
"99",68.7859051970979,NA
"100",68.7084518843392,NA
"101",68.4840897212872,NA
"102",93.3256218287322,NA
"103",147.75219008926,"IDN"
"104",60.2621873819374,NA
"105",147.50350877193,"IMN"
"106",454.938072575247,"IND"
"107",70.452983016403,"IRL"
"108",50.222420123284,"IRN"
"109",88.5305700354617,"IRQ"
"110",3.52692269326683,"ISL"
"111",410.526802218115,"ISR"
"112",205.450747943156,"ITA"
"113",270.993074792244,"JAM"
"114",112.14249831043,"JOR"
"115",347.073458415624,"JPN"
"116",6.76982590658221,"KAZ"
"117",90.2994166637383,"KEN"
"118",32.9290928050052,"KGZ"
"119",92.0564128710628,"KHM"
"120",143.020987654321,"KIR"
"121",201.696153846154,"KNA"
"122",529.652103632681,"KOR"
"123",232.172222222222,"KWT"
"124",32.0214614597141,NA
"125",30.5957842287695,"LAO"
"126",669.494134897361,"LBN"
"127",50.0309073920266,"LBR"
"128",3.79563238119054,"LBY"
"129",298.17868852459,"LCA"
"130",32.0057333680836,NA
"131",56.8413289019083,NA
"132",51.673738313444,NA
"133",236.9375,"LIE"
"134",345.558922022006,"LKA"
"135",150.081518176415,NA
"136",69.2415960633107,NA
"137",69.437812911726,"LSO"
"138",51.408720555305,NA
"139",44.5313513780643,"LTU"
"140",250.093827160494,"LUX"
"141",30.9833065294307,"LVA"
"142",20777.5002607232,"MAC"
"143",80.7285189334528,"MAR"
"144",123.51980353224,"MDA"
"145",45.1398556204881,"MDG"
"146",1718.98666666667,"MDV"
"147",39.997702909805,NA
"148",64.9146264050001,"MEX"
"149",324.516666666667,"MHL"
"150",72.294869980189,NA
"151",82.5915146708961,"MKD"
"152",15.635015858186,"MLI"
"153",1511.03125,"MLT"
"154",82.2386154835549,"MMR"
"155",44.3111694561864,NA
"156",46.2710037174721,"MNE"
"157",2.04060866654651,"MNG"
"158",123.65652173913,"MNP"
"159",37.508535313716,"MOZ"
"160",4.27216357815077,"MRT"
"161",623.30197044335,"MUS"
"162",192.440761561307,"MWI"
"163",95.9628214883579,"MYS"
"164",19.9709762368072,NA
"165",2.97374558175127,"NAM"
"166",15.5393873085339,"NCL"
"167",17.7176505881424,"NER"
"168",215.064988965381,"NGA"
"169",53.7270483629716,"NIC"
"170",511.457910359157,"NLD"
"171",14.5549195374975,"NOR"
"172",195.939107080572,"NPL"
"173",635.2,"NRU"
"174",18.5541756864532,"NZL"
"175",37.8092345649061,NA
